🐼丨央视频道,#genre#
CCTV-01,http://159.75.85.63:36666/migu/608807420.m3u8?migutoken=4d8a99db31a040b9f0572ad5b6191f2dc992135e69e2b103969a66a1d507a6780d1e06fb9999b056353364899a60d906610072d2a9d94fb80191a2d9d071549dd22c03324cec1488faec0b6a52
CCTV-02,http://159.75.85.63:36666/migu/631780532.m3u8?migutoken=57fae8a36864cebe5a5b3436bda4a72b295b4ca5ffc341ebab86f13570b73a4eff360b0a81aa2b44eade6f8b831cbe1c2a38c906d3e9584e3f3c6130e921538b8d548a063cac40874a96f04063
CCTV-03,http://159.75.85.63:36666/migu/624878271.m3u8?migutoken=21bcb5248551643271d4eda3cf34290753caa25d171cd7b3539c34ab165d8bb4d8e1e4a5bd9d2b291d445ed1ad205115ec3d7759dfef794c14407993e4b692b512bc394da6553c99e878eb940b
CCTV-04,http://159.75.85.63:36666/migu/631780421.m3u8?migutoken=3110edfc50f0e3f6c4a7570783ad3f41a142f058869ab96253449ad97bc96cd9fc164b0fdfae1704f85e1bf77c2f64bc66b3f20f0dfe2a3ab147d8346574744fa6936e9bab3701a005887c59d5
CCTV-05,http://159.75.85.63:36666/migu/641886683.m3u8?migutoken=a53c4fdaf9f66f1f0e71eda12a884baf1df41565aca514d33464de54ec9e9fb4e19bcd6efeb2ffeadcbc89711fb5e29b2ab63bcf7e83731ac2ff8ca7a9343c389d33dd3538428443f26be21ad7
CCTV-5+,http://159.75.85.63:36666/migu/641886773.m3u8?migutoken=66b0b8cf46ccf953144643c55ed1201d7b4df94a9f079b0dc48a40a9278cdc8d4e5ac515a73365b4779a9628e9003c5fd92a0c2eed3dff711ec020c28690c1641eab6d09c0babbc21cc42cfe25
CCTV-06,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=m3u8
CCTV-06,http://159.75.85.63:36666/migu/624878396.m3u8?migutoken=f80997272fb7e93df3e570ab5fbbfcc81393ddcf287334a1a01b5bfe688dffde485ac2ea9e08238983aa03125328e5eed3f282b7ba2dab2d4fe56bbda81ba601559dad9d60f2645167c088e649
CCTV-07,http://159.75.85.63:36666/migu/673168121.m3u8?migutoken=01aace6b35af67a88172ae09647d1122d542e57c214d8d1e47f8263649058bb4a6594a57512a9b8c228a4961c3832cf5419ee35743db4ed0457ab44e1a226f3e9fa740703942381e9a4dbdac8b
CCTV-08,http://159.75.85.63:36666/migu/624878356.m3u8?migutoken=995136ae9b474cf8879969cda8e4dd0310e7755d8d89e2718c4e33d1f6bee681470c507e7f874b8036734eec767c253ef2e0e0181e1e62bd7a53d872b7226eb24fdf096cee3a5a277c3ffe9379
CCTV-09,http://159.75.85.63:36666/migu/673168140.m3u8?migutoken=9b5a72309bf02e9914974872fdd5e689d8b906555bd54d7be2354e4dabd223c32887c9b393e8b0386424f01b26a16c5cfe2f6dbec1b7309d35c512fc135ffda3b3cd2c355c5762cb8f27a02c69
CCTV-10,http://159.75.85.63:36666/migu/624878405.m3u8?migutoken=e4d81a34facfc3c7268cee61bf21b1bd287bbf58846c5b2570fae783ed9a4f913ed130a0a48c8709e8b202f26ae90d845c0271c5f8cbc73a80d3b165172ac39696f0bdd83239721c654f8ca5eb
CCTV-11,http://159.75.85.63:36666/migu/667987558.m3u8?migutoken=e3f1afe6a931d2518dfa93fa9194e37e866bb3296ea01a9846860f19b346e665cceba6d6618e8c8d2b411b044f5bac139da7091e45fe15f4af2f0b636a329494a044360426e738e9f9b43b9864
CCTV-12,http://159.75.85.63:36666/migu/673168185.m3u8?migutoken=c18fa2b4882cba2bd1ab6835b1f3da48dcbe9f7135001922521b0bee36283915d31764b763791bfb5b2a81ae73e32d5a233c3b2c5def27d6f35007b2559579415cb0962d0356de78228bfeba22
CCTV-13,http://159.75.85.63:36666/migu/608807423.m3u8?migutoken=b1bd007a69baf9c424de5ef3367e328817fd83c70e008de417bd4fcc9f11af2b5b0520cc64d458102da5270d970ae08e7c66e6d5851dbc8c3605fe56cf82cd6eb3225e2c15ea9eed5419db3962
CCTV-14,http://159.75.85.63:36666/migu/608807423.m3u8?migutoken=b1bd007a69baf9c424de5ef3367e328817fd83c70e008de417bd4fcc9f11af2b5b0520cc64d458102da5270d970ae08e7c66e6d5851dbc8c3605fe56cf82cd6eb3225e2c15ea9eed5419db3962
CCTV-15,http://159.75.85.63:36666/migu/673168223.m3u8?migutoken=393f67f89e657b04f355bf429013ac9ad5f3045ac1d9ce2636a4468def694db1762b231a67472f9563fc645bde0e531671e00818fd721367cb6d7e8ed535f6fd2fe49b98d05741c8cf6fcf7e56
CCTV-16,https://stream1.freetv.fun/f5e0459fd9f11d93ac18af88196997db1c71aeb6d27ce1bd24faccb628652629.m3u8
CCTV-17,http://159.75.85.63:36666/migu/673168256.m3u8?migutoken=6616111179ca72633849a7f34ee129b2405293d660e3b4363cc5e1db4709ea76baa13c83c6f978e7963d43e00716c6a8e85c4c00fc515d49eb0097e42caae1e59968dd7c6150d8592c34c7a96b
cct4欧洲,http://159.75.85.63:36666/migu/608807419.m3u8?migutoken=54772924fb318df0751106929d71a0733a83cd34eb4e9b98e97308f433d74d38f597f23cec1227c906b411998917c21de93b4cc425438da9650b8ab76691a62fc1223e913013edc06efc83ca29
cct4美洲,http://159.75.85.63:36666/migu/608807416.m3u8?migutoken=af35d84c58f5b423f898abe89bc5dd30791e7ffdaa2c4b2df78ca837a0f88299c726934b7de264e1c8229ea3c4c2e8fe5366144e6370a1089388580e65bd3b43aa66fccd915bc3e189e7697fb4


CCTV-01,http://39.165.196.149:9003//hls/1/index.m3u8
CCTV-02,http://39.165.196.149:9003//hls/2/index.m3u8
CCTV-03,http://39.165.196.149:9003//hls/3/index.m3u8
CCTV-04,http://39.165.196.149:9003//hls/4/index.m3u8
CCTV-05,http://39.165.196.149:9003//hls/5/index.m3u8
CCTV-5+,http://39.165.196.149:9003//hls/16/index.m3u8
CCTV-06,http://39.165.196.149:9003//hls/6/index.m3u8
CCTV-07,http://39.165.196.149:9003//hls/7/index.m3u8
CCTV-08,http://39.165.196.149:9003//hls/8/index.m3u8
CCTV-09,http://39.165.196.149:9003//hls/9/index.m3u8
CCTV-10,http://39.165.196.149:9003//hls/10/index.m3u8
CCTV-11,http://39.165.196.149:9003//hls/11/index.m3u8
CCTV-12,http://39.165.196.149:9003//hls/12/index.m3u8
CCTV-13,http://39.165.196.149:9003//hls/13/index.m3u8
CCTV-14,http://39.165.196.149:9003//hls/14/index.m3u8
CCTV-15,http://39.165.196.149:9003//hls/15/index.m3u8

CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
